ID	chviCounts_noRep.csv	cabrCounts_noRep.csv	stluCounts_noRep.csv	arjaCounts_noRep.csv	lothCounts_noRep.csv	angeCounts_noRep.csv	glsoCounts_noRep.csv	noleCounts_noRep.csv	moblCounts_noRep.csv	mawaCounts_noRep.csv	ptpaCounts_noRep.csv	deroCounts_noRep.csv
ZN658	114.274	1	48.363	20.346	3.801	2	2	0	5	1	3.438	1
ZNF76	8.202	10	53.379	0	22.228	51	0	2.336	0	26	14.679	82.244
WDR24	101	25	23.293	2	52	3.678	21	11.712	15.654	9.002	51.536	3.497
MBRL	312.388	91.21	10.215	2096	26.374	2.983	881.451	2529.916	151.509	39.274	165.554	5.575
ZN639	34.643	0	128.142	19.785	2	23.36	118	19	14.961	2	44.13	52
DESM	0	0	50.377	5.299	1771.973	11666.05	1	1.458	77.039	11084.018	29608.03	1502.313
IGF2	19.424	37	171.171	48.855	62.234	0	11.491	2.523	1.197	15.735	88.537	60
S35A5	1.978	129	265	0	0	5	503	14.112	79.943	28.744	27.873	20.399
RCOR3	175.496	14.907	10.821	12.367	119.508	40	32.382	11.054	516.037	13.008	37.457	6.089
GLIP1	60.766	3	12.972	36.872	4	51.17	8	0	0	1	3.029	0
TM204	96	79	24.962	40	4.145	0	13	16.918	13.394	0	25.742	115
CSKMT	429.298	125.552	195	393.522	12.406	151.154	4	478.198	0	76	133.901	4.979
CNOT3	85	3.404	24.974	43	8.79	11.211	165	73.459	0	11.869	323.998	2.082
IDHP	24	1.224	978.069	101.823	1051.596	8727.035	611.973	15.471	1711.339	525.028	6.433	3538.741
ISK7	3002.94	4245.241	5173.278	148.355	5555.531	680	0	2	36.073	1871.422	24.478	231.242
SCMC1	614.572	632.964	105.985	138.309	637.583	140.432	140.115	926.307	33.521	0	459	0
TM143	178	137	8.176	137.544	174	181	279	175.998	468	84.267	430.696	1.532
GLUT4	2474.819	4220.16	3.677	1.32	1480.521	1001.435	265	747	49.678	2269	19.342	1226.141
SYBU	10	12.93	8.94	5	138	13	3	30.622	1.349	6	54.677	0
GVQW3	1	29.488	7.629	1	33.935	1087.09	103.113	297.089	31.304	0	6.769	3.999
1433B	3428.578	1504.642	6868.242	1396.192	6113.133	4063.87	1	1529.557	6478.807	517.119	2573.953	3107.371
TBL1X	89.338	205.501	52.346	0	374.556	279	28	13.288	9.936	156	147.49	141.964
EFTS	279.848	8.223	0	50.245	118.58	26.426	184.983	654.619	220.501	71.564	464.951	539.948
ELMD3	95.876	99.785	231.245	121.574	6.846	130	82	0	275.629	4.289	56.58	155
RETR2	255.975	702.674	662.582	820	9.405	674.035	463.936	188.791	65.314	12.983	1503.531	214.348
S1PR2	6.973	258	44.997	107.453	105	77	62	0	261.024	93	293.672	158.005
CP2S1	593.48	456.498	1112.903	109.881	75.825	30.221	0	11.964	211.49	297.877	135.458	166
IGIP	81.177	0	0	93	116	0	0	156.851	167.781	76	0	81
CHSTA	54.778	83	6.344	14	48.327	3	1	10.586	22.363	4	41.343	5
SCAM2	44.253	40	1682	136.77	1238.202	30.184	362.504	2156.123	763.859	401.312	1440.444	4.461
PRCC	324.878	227.381	876	86.486	0	426.811	247.544	783.788	131.908	209	458	305
CMPK2	10.346	0	5.233	4	2	2	6	199.785	0	1	5.031	69
ACOX3	80	0	2	200	0	40	85.904	7.08	11.38	70	57.249	37.124
ARHGG	282.019	0	36.092	6.655	0	186	5	4	151.936	311.976	451.629	71
Z705D	18.723	0	0	0	0	0	0	0	0	0	17.405	0
SIX1	181.347	307	0	101.725	147.932	144.631	350.068	99	33.569	177	18.313	267
TPC	105.369	94	59.287	177	13.667	191	61	5.127	64.885	106	91.823	55
MPIP1	49	0	10.234	0	114	0	1	2.56	17.329	0	1	0
TM243	91.25	42.95	40.903	42.921	0	28	6	15.832	55.209	0	206.48	0
GPM6A	96	299.112	0	243.894	0	18	240	0	16.65	57	290.56	0
DNJB4	0	419.012	716	630	27.267	100.644	206.059	257	3	0	786.728	9.721
K2C1B	58.521	0	71.274	0	6	251	0	0	0	1	5	1
MOCS1	147	206	460	225	8.32	98.902	53.925	279	10.458	0	50.125	79.017
CND2	14	5.713	3.008	15	1	1	2	25.514	0	1	4	0
GLT11	406	14.147	585.034	18.627	437.017	1059	24.484	2.391	204.629	84	227.967	67.643
SDA1	442.487	255	12.118	15	159	1.452	0	107.493	33.955	117.291	5.628	99
BRAT1	3.631	58.892	91.501	158	0	111.653	13.315	68.239	73.734	59.705	38.053	116.215
ZN451	7	1	0	13	0	1	0	0	1.397	9	7.568	0
VP26A	7.28	552	456.081	198.848	1165.754	292.351	486.571	160.747	494.15	0	1130.367	395.832
F149A	133	0	31	0	0	2	0	0	3.691	0	10.206	0
UD110	36.001	157.637	2.065	822.369	3564.727	342.488	0	0	0	0	0	352.776
TAB3	19	2	4.588	2	0	10	4	1153	10.518	2	1.539	0
ENDOU	202	60.586	2665.428	822.353	111.93	1953.264	40.885	267.283	2.405	151	3	284.696
TRIR	0	18.561	9.31	115.912	652.252	0	11.184	364.518	497.572	26.122	40.119	377
WDR34	110.644	155.681	27.544	19.631	43	0	0	0	158.506	137.325	0	0
ABHD6	3.191	391	990	114	16.498	200	100	267	431.602	0	0	3.339
HNRH1	612.441	624.601	900.347	589.794	17.092	566.573	413.998	592.904	172.94	63.248	187.349	467.288
TMOD1	1705	0	373.66	349	1730.519	362.264	960.182	3.981	13	207.449	727.82	12.691
EXOSX	12.567	61.98	1.279	0	0	11.921	83.295	13.678	38.668	149	152.492	39
PDIA1	367.275	4700.583	7882.588	3109.304	2876.849	1774.634	1	16196.416	1.452	5907.655	3	1353.835
MINK1	205.729	791.588	18.186	147.375	88	488.439	147	2147.385	14.318	63.522	30.718	269.789
HGS	553.137	38.506	466.661	453.214	12	473.052	11.216	212.022	0	43.727	852.104	106.037
ELK1	238	113	334.356	266	121.181	0	157	354	481	134	270.282	161
VOPP1	110	0	226.277	228	162	3	1	32	206	146	495.529	0
TBA1C	445.875	5	72.695	876.841	1	10.981	532.09	10.863	2.148	203.37	207.807	199.039
KCMB4	18.057	4	9.502	62	17	3	6	48.581	31.299	3	31.528	0
MARE1	238.55	63.291	26.706	427	145.461	373	0	8.644	1244.862	0	5	44.266
NR2C2	21.924	208	12.284	3	4.298	8	0	1.195	26.659	0	47.061	0
ZN287	1.902	0	23.601	2	1.188	0	1	4	6	6	11.21	2
PYRG1	78	73	6.001	169.049	214.702	177	55.656	547	865	4.474	15.305	18.699
MB214	68.267	0	1709.589	60.326	787.801	34.834	320.215	4306.27	439.845	9.363	26.749	109.923
AP1G2	4.132	1.166	6.106	0	8.233	12.236	2.533	161.604	69.914	42.623	31.607	11.419
ZN420	7	9.663	21.4	4.881	8.714	0	2	0	1.511	0	3.768	4
P2R3A	774	3.095	265.32	0	101.834	168.29	14.761	31.168	22.421	432.662	1.535	71.934
FXL20	24	129	129.497	1.23	123.242	0	22.887	3.036	227.658	95	9.33	11
RD23B	604.985	161.444	68.748	23.006	583.975	288.488	281	1285.732	310.319	725.018	2007.26	856
AP4AT	0	187	1	106.253	35.201	1	0	0	0	11.537	6.028	140.902
ICAM1	68.714	1.774	0	1.045	1	6	0	1.405	3.311	0	11.938	70
NEUR1	154.877	143.492	405.21	113	22.61	192.436	5.525	114.262	396.578	0	847.087	73.565
RGL2	233.231	0	344.379	117.393	16.912	148.608	15.58	63.774	75.672	210.777	55.537	313
NGEF	3	0	777.837	3	287	66	217	1677.666	242	133	2.258	205
RETR3	804.69	40.417	28.696	986.093	171.5	0	436	2421.276	498.623	439.524	41.775	354.383
F220A	34.683	0	0	0	513.511	236	236	0	331.92	150	909.758	0
TTI1	3.361	1	5	0	1.804	5	3	9	4.827	0	5.41	1
HA1B	26	31	59.272	41	34.741	47.506	59.652	66.597	1.927	5	1604.154	32
RBM24	129.761	301.163	1.404	174.7	225.994	124	136.38	4.3	28.14	2.42	1024.57	0
IRAK4	120	2.705	21.248	8	46	0	17.14	86.548	18.33	0	87.401	0
DVL2	27	3	4.641	55.15	7.667	0	4	8.551	4.313	1	13	0
MICA2	1	7.073	36.569	0	33.885	8	234.911	40.848	16.187	0	1.601	3
SYNPO	295.79	173.803	1333.979	2629.001	1216.822	1	894.319	9.958	119.005	1	178.552	1011.774
PJA1	13.199	89	16.48	47.825	0	41.895	0	174	492	90	14.64	30
ROA0	1049.312	261.604	543.709	575	528	565	245.229	1487	385.106	347	211.076	100.331
GNL1	11.191	182.125	93.915	112.797	375	298	210.507	57.724	301.386	0	141.883	90.241
UBP20	0	7	4.58	5	35.381	170.805	30	12.281	173.318	1.202	184.828	0
SPRL1	1845.817	155.475	228.984	43.947	1706.487	60.586	131.531	163.1	438.986	47	1505.21	0
BOK	446	312.801	561.728	436	215.586	60.497	27.819	8.111	1478	271.621	381.876	262.579
FXDC2	125.411	41.603	225.756	68.025	17.127	18.671	6.632	21.123	260.354	208.454	470.442	9
T2EA	22.821	22	18.49	4	15.997	87	19	209	267	0	11.922	13
CC038	29.763	132.311	399	91.349	0	183	63	19.697	1.516	2	319	127
RAD51	23	1	34	1	109	12	5	13	9.444	1	4	0
LAMB4	39.648	44.465	3.796	990.042	8	2	0	19.068	403.801	9.902	6.057	3.391
THAP2	53.303	16	5.559	10.83	1.819	0	272	147	22.296	0	215.45	20
OSBL9	73.308	439.973	493.888	281.721	194.849	41.73	6.285	575.283	83.229	89.387	7.462	5
MAGD1	64.821	0	221.409	457	351	191	0	243.531	1011	135.492	157.564	167
KC1G1	53	3	12.552	2	0	9	0	3.326	5.539	1	7.687	0
TNIK	6.994	14	4	0	0	1.175	2.392	3	3.374	0	3.708	0
RALA	554.796	231.355	292.773	177.745	580	93.859	123.125	53.412	303.331	199	340.303	223.992
IL4RA	227.068	233.815	684.297	169.231	235.588	2.565	46.163	32.83	16.834	47.884	11.365	2.828
DJB14	0	10	1.473	5	113	0	2.651	113	15.013	6	169.547	12.854
WLS	290	435.017	215.932	33.696	1028	0	39.457	1192.981	845.515	80.758	42.652	115.206
MARK1	2569.383	163.489	90.848	33.918	152.454	41	1.917	8.277	5.767	167.532	225.645	194.654
VASN	238	240	598	40.569	336	0	17	588	266	240	271	391
AAR2	160.464	162	490	172	139	0	307	544	108.21	161	212.274	0
I5P1	220.505	105.293	21.348	4.107	674.504	745.562	112.512	260.654	38.802	92.197	42.158	183.87
RBM43	92	0	100	90	8	0	1	6	1.818	26	8	0
STABP	179	61	59.651	145.72	190.116	234	114.891	9.512	208.503	199.342	160.758	23.175
LPAR3	136.05	1	56.157	9	72.306	138	17.261	593	0	1.226	0	2.72
5NTC	542.545	156	32.703	236.247	0	6	83.183	1957.92	143.59	58.53	412.308	525.554
GO45	0	364	109.693	287	890.171	360	196	105.074	15.426	260	293.168	131
B4GT7	147.178	326.642	65.359	77.659	162.374	28.645	105	295.041	61.116	104.367	171.455	62.087
SEM5A	34.229	1	7.615	20	32.071	0	2.016	2.481	1.381	1	6	2
SMAD7	152.027	53.499	0	114	18.076	29.306	2.41	126.314	31.35	43	118.994	284
CAR10	108.04	899.29	4.002	74	1259.731	39.798	41.779	0	74.453	35.357	556.426	1
PPIP2	66.847	387.586	189.291	215	4.107	33.267	454.132	5.16	54	270.003	285.924	24
K121L	23	389	681.152	0	37.565	0	186.927	522.328	317.552	46.579	0	0
AQP1	1701.79	115.252	318.487	690.627	1545.074	410.864	176.505	1.494	69.391	269	553.5	862.006
PTPA	314.31	153.791	1194.919	612	15.859	778	1141.942	144.632	337.409	385.944	661.656	23
ZN414	43.144	27.359	1.234	39.876	79.03	0	40.934	42.715	8.469	2	7.244	11.679
CSTF3	0	47.602	11.674	2	1.51	15	7.255	14.942	16.384	6	0	9.67
AKA7G	99.706	0	4.415	127.642	19.328	0	0	9.01	21.127	0	13.123	0
VPS16	162	19	3	11.448	188	12	0	130.102	3.653	0	108.693	51.348
RB8NL	3.719	5	20.194	4.843	30.086	10	0	2.232	21.248	6.69	44.681	2
ATG4B	2	280	547	55.997	46.195	22	167	55.489	346.792	171	373	11.09
DPYL3	212.506	0	18.414	0	211.192	1	67	1149.621	770.179	3.306	16.285	1.691
RERE	7.745	643.264	692.687	0	2	29.542	1	20.366	2.202	3.407	2.694	0
MYPR	11.379	113	90.643	4.722	42.157	108	136.324	1.355	170.274	7.203	264.077	332
SV2B	9	0	4	1	0	1	0	0	0	0	9	0
MFS11	171	127.664	421.299	411.417	369.479	201.839	94.409	112.517	946.799	17.836	52.444	170.358
DEAF1	73.649	0	270	158	66.432	155	171	1.568	158.121	0	309	79.164
K2013	204.888	909.831	93.157	640	50.119	458.71	247.548	257.716	47.756	830.49	704.429	266.977
KISHB	545.303	203.834	290.58	782.63	302.114	41.19	181.369	0	520.841	186	102.57	329
EFGM	195.964	364	729	132.962	31	436.298	509.096	235	73.169	135.787	57.883	336.959
GPR34	154.371	2	4	0	5	0	0	3	5	6	1.893	10
SMUG1	54	101	11.737	76	117.353	53.812	53.988	7.78	0	119	47.699	67.845
OTX1	8.404	0	0	139.714	10.2	33.693	11	1.346	166.925	39	27.882	10.83
PKHA4	87	15	148.682	23	38.714	18.739	0	66.323	268.948	20.014	8.766	203.721
GGT6	42.475	167.934	695.515	92.06	54.714	91.959	142.925	32.082	8.649	40.728	293.525	0
PDLI4	51.094	671	1482.4	264	1118.435	126	349	45.188	32.986	93	123.283	147.657
HAUS2	74.256	0	254.711	197.135	673	54.219	101	213.87	45.038	86.22	60.614	0
TIAR	3.399	28.811	227.525	94.754	18.853	0	93.197	146.52	49.507	3.574	0	3.216
COG4	157	189	64.967	180	13.094	222	108	91.417	449.996	32	339.634	38.524
OVOL1	7.783	335.185	4.382	69.412	398.899	603	291.822	1030.518	357.02	570.051	485.955	769
TSY26	22	0	0	21	10	0	0	11	2	0	8.95	2
SP14L	7	42.272	32	2	83.144	15.859	9.024	4.842	29.542	74.219	70.561	205.479
VSIG8	3820.478	597.451	1043.24	565	1173.028	1590	234.729	2017.413	1197.713	176.379	10	404
CIAO1	306.431	94.538	176.106	115.237	0	42.604	37.01	381.225	115.574	216.416	298.002	75
RDH16	54.991	0	49.281	108	0	0	2	12.989	101.153	2	2	7
STAT2	491.516	7	4.132	167	292	1	7	101.507	88.618	0	7.767	49.685
RPR1B	69.447	232	13.876	555	42.921	192.66	341	36.294	48.128	268.609	27.035	112.004
S2534	17.917	153.977	31.698	4.251	5	0	0	2	38.394	374	847.209	131
SEC62	8.378	158.471	5.134	749.279	318.754	1237.746	1183.667	48.454	814.024	10.228	13.824	174.101
CEBPA	696	304	513.72	0	41.599	272	134	855	72.372	353.969	4.693	75
CYYR1	2	19	11.242	168	123	0	18	3.585	2.301	50.076	63.22	0
TF7L1	45	106	8.374	149.603	46.94	35.571	4.3	13.431	3.671	5	7.591	11
TBC17	4	24.262	105.412	47.116	100.636	49.863	630.34	713	15.553	4.453	1182.738	263.21
UD16	705.121	0	2.997	91.328	994.551	0	0	0	48.557	61	0	235
TIG1	245	79	5	1	1	16.184	0	60.226	30.957	1811.259	63.976	47.473
LRFN3	46.194	88	5.364	40	29.133	125	1	417	12.919	6	345.19	174
GP180	13.249	9	4	21.049	1.531	18.925	2	21.611	2.296	1.237	294.518	0
MI4GD	1.072	296.149	1362.195	1161.174	252.084	196.172	4.264	16.439	78.84	0	31.214	76.488
NDRG3	31.285	131	92.623	24.842	52.891	105	59	341	147.233	190	1.813	0
SSDH	2	0	139.459	6.04	105	36	89.755	8.01	103.152	103	582.74	148.637
F131B	0	7	1	0	27.696	114	0	4	3	0	0	0
RNF37	135.745	16	11.948	1.613	28.256	3.839	33.994	0	55.562	4.416	3.392	192
FBX46	52.864	4.083	70.84	121	3.903	7	6	332	173	51.848	0	47
LIX1L	41.306	4	17.86	7.363	0	4	5.552	23	2.878	0	7.133	45
PTPRB	1.171	25	7.058	1.504	1.138	21.326	2	2.507	6.013	1	25.527	5.302
RIR2	241.133	92.915	890.792	441.488	637.043	513.042	408	780	1555.918	299.09	122	926
CEP95	169	28	238	46.112	5	14.502	13.777	2.862	300.484	147	170.705	89
HYAL1	152.521	164	268.701	147	231	151.367	56.735	16.938	64.305	3	107.403	62
IVD	209.28	50.72	4.173	3.877	626	73.956	49.696	2430.128	263.408	993	680.214	0
GPDA	9.292	35.71	37.458	18.62	196.956	58.391	310.798	147	625.671	253.511	636.155	11.753
PPN	92.041	4	2	7.089	1.208	1	1	92.915	531.02	3	10.353	4.033
KAD1	9151.627	4871.523	3400.266	11076.651	844.661	190.502	509.672	1979.754	3605.536	1303.902	4	2072
SAV1	595.93	300.106	181.826	0	267	222	197	421	635	185	71.034	309.024
TRI59	120.621	0	69.533	29.12	142.853	57	53	153.365	234.192	0	48.585	0
S6A20	0	0	1	7	4	0	0	0	437	0	4.005	8
MAL2	922.276	773.977	4742.501	0	2872.149	8815.966	1612.523	30.49	20.398	29.255	0	986.571
TRA2B	976	187.611	73.686	67.772	232.421	31.128	506.844	169.078	26.106	0	425.177	138.128
IF4E3	78.861	279.036	6.803	118	243.363	278	473.049	1	34.809	231	408.383	24.476
BET1L	0	298	479.374	158.914	3.79	500.949	377	140.598	1.566	215.934	13.488	56
PABP2	617.405	175.936	153.593	263.313	639.783	357.795	329.912	129.587	209.291	51.253	81.48	281.633
TRI47	0	73.636	226.012	59.776	23.91	0	0	2	241.423	55	7	22.287
KLH41	232	548.31	1616.377	542.396	4801.926	538.526	15959.13	1363.29	8356.849	436.29	528.259	738.589
FAKD4	177.55	261.389	22.061	3.619	35.257	632	77.259	315.357	173.037	6.601	319.388	40.295
CC049	193.319	4	0	0	0	0	0	0	3	0	4	0
LR14B	0	2	5.288	1.932	127	4	153	18.929	0	11.738	18	0
MIER2	9.287	141.171	45.594	1.768	1.488	9.609	16	13.138	278.55	0	5.267	27.483
LAP2A	21.039	0	46.596	2	32.849	0	28	350.84	529.362	0	90.007	13
SPAG1	760.466	4.503	89.946	5.849	167.526	141	44	0	5	0	143	210.359
REEP4	464.763	17.808	9.117	164.764	66.611	20.299	230.657	6.202	163.041	25.259	19.667	45.432
ENTP7	160.854	1	0	2	0	0	0	4	8.006	2.03	26.96	3
S39AB	19.135	13.806	178	11	6.88	18	5	153.465	13.786	43.916	309.361	6
PRR33	73.925	9	145.322	140	11.035	79	91	58	245.336	67.35	403.405	42.334
CTIF	2.423	17	7.27	2	252.825	2	0	10.399	5.726	230.506	668.236	9.607
ATF6B	30.732	85	738.662	269.425	714.016	0	17	46.064	18.343	18.528	552.013	60.393
RSCA1	325.744	548.92	0	135.595	156.975	0	29.538	187.594	203.141	137.334	75.432	450
ECHD1	15.44	131.606	64.379	85.867	185	147.992	124	547.988	73.99	103	49.846	1.2
RT35	25.825	45.863	47.583	207.735	154	15.764	58.263	287	1.295	95	184	352.049
INSI1	2.199	64	286	0	0	135.209	77.994	143.643	0	12	8.542	9.06
CCHCR	34.308	0	7.175	0	53.657	14.553	10.12	112.07	197.998	0	24.964	35
PGP	187.941	349.866	45.55	11.02	774.514	906.152	808.74	550.427	526.392	178.249	405.885	970
AEN	40.119	325	50.743	360.078	257.52	13	0	7.737	748.266	1.885	73	46.872
ZN174	147	102.088	12.469	69.645	55.854	4.301	26.867	4	0	81	29.012	5.69
RNF43	18.077	2	17.909	1.631	136	13	0	489.805	3	10.485	17.011	10.611
MCMBP	283.628	18.722	554	296.246	11.437	443.093	200.437	265.453	151.785	71.594	106.302	146.269
APLP1	214.674	124	442	207.936	8.825	1.906	36	3.593	26.111	94.47	70.614	183.911
EEPD1	40.925	26	14.424	68	7.441	53	0	1.832	12	12.451	3.987	62
F210B	458.796	36.364	6.941	217	466.785	218.966	152.042	5.045	2.631	22.524	264.006	305.605
TRM2A	47.07	69.91	2.734	2.874	73	41.045	0	81.003	134.179	22.325	23.85	2
BGH3	229	126	554	363	217	5.069	0	3	3	192	183	239.282
INT13	170	12.083	61.577	79.712	0	10.002	4	37.937	193.252	21	14.496	101
RRAGC	331.148	518.066	532	221	5.745	0	48.405	441.197	219.263	56.044	15.746	480.691
VAMP3	40.12	2179.607	346.235	3	245.144	233	932	141.816	343.713	16.782	2026.195	6.849
TPSN	523	450.863	284.811	31.944	9.58	264.003	8.669	1643.345	938	3.583	3.387	242.201
MIRO2	57.542	142	56.417	28.811	13.55	2	9.762	126.049	143.709	50	95.232	31.464
ZN274	8	5.817	0	0	13	2.584	0	2.082	10.216	4.837	4.063	4
HTR5A	31.514	166.567	3.585	4.464	149	55	71.859	1.739	29	6.152	2.317	4
HDGF	125.563	3679.616	19.146	13.336	2882.642	209.542	2225.493	2026.75	4391.725	379.95	2695.037	649.236
CENPB	423.851	121.654	387.798	381	699.307	531.903	683.582	2984.498	2205.374	1482.45	315.177	60.977
DJC11	241	253.505	348.227	260	283	13.096	253	4.703	12.733	159	363.645	0
S26A6	0	101.858	453	35.412	212.569	255.506	213.528	34.058	176.084	19	29.33	69.875
DYR1B	186.685	181.482	144.414	227.255	507.504	233.808	89.397	6.094	139.985	12.278	145.253	126.702
ZN226	76.694	1	8.224	0	0	3	0	2.138	4	2	50	0
E2F6	187.357	65.226	192.885	0	116.768	0	76.055	201.438	0	103	589.404	96.225
NFAC4	16	5	1.418	2	11.76	3	1	1.235	4.96	1	6	30
UGPA	2006.481	130.973	32.958	167.136	79	583.156	2805.738	25.208	93.668	195.692	1455.342	597.536
SYTC	162.155	369	65.972	0	402	220.028	373	932.332	890	175	866.559	78
SUV3	9.102	13	260.786	167	171	31	56	5.346	40.786	13.119	333	25.592
PCAT1	29	4	198.033	0	26.798	12	2	11.585	320	0	5.821	111.778
FGF7	126.205	150	77.095	182.723	21.083	40	146.316	95.033	293.7	26.021	489.568	33.678
MACIR	7.153	12	16.229	26.429	96.423	39	0	11.164	7.302	120	33	19.942
ANR22	621	622.947	523	136.043	1.704	76.289	0	5.782	234.016	396.905	412.242	219.588
CBSL	7.938	86.093	13.614	7	0	204.296	70	0	0	8.57	0	70.059
CBS	248	86.093	13.614	7	15.414	204.296	70	47.783	309.01	8.57	3	70.059
BAG4	9.143	9	16.616	42	94	5	1.209	1.683	1.099	0	33.259	75
D19L4	2	15.703	4.261	6.778	9.346	9.471	10.241	5	79.798	1.462	1	11.098
KLK13	112.177	2522.628	6077.883	137.934	2151.114	1409.275	0	32906.71	4737.718	76.145	84.406	1462.325
SPY2	543.86	1.406	3.779	137.974	94.814	195.387	0	445.881	20.973	0	4	264.611
RCAS1	145	83.068	65.953	98	103	76	108	3.443	217	135.534	841.856	97
CTNS	22.494	0	36.287	72.72	10.238	9.469	21.584	189	35.724	101	39.549	38.135
VGFR2	0	31.991	7	9	8	0	1	2	7	0	9	4.902
2A5B	42.202	19.85	0	1.119	15.065	0	79	660	49.163	11.1	358	24
CNBP1	8.143	702.988	84.423	290.742	762.392	11.139	27.24	84.593	762.655	1111.487	44.913	143.596
APOL6	0	0	1.944	10.208	0	2	0	6	0	4	4	0
TRIM4	6.83	15.832	407.528	145.743	5.094	8.483	73	11.421	0	66	588.548	56.002
NIT2	185.031	130.839	371	299.7	86	29.621	0	654.428	1.283	0	6.767	25.649
ZN775	67	49.453	178	23	8.941	15	3.003	8.565	73.408	0	23.541	6.671
F262	68	0	0	4.209	123.815	0	240.292	8	12.819	5	425.653	1
FASTK	254.781	95.834	101.16	8.802	41.428	80.031	110.708	38.599	123.093	244.66	465.453	255.202
STAU2	721.16	219.797	173.336	149	2.344	8.947	0	191.494	269.643	50.597	59.039	32.49
HBP1	22.655	1167.367	81.121	1090.699	1617.868	43.91	46	1011.566	2485.327	1544.597	1852.217	1652.299
PKHA1	13	275	27.627	89.388	904.824	3.35	80	719.055	460.135	24.316	28.692	128.067
EZH2	111.5	100.061	26.529	53.184	1	1	0	199.47	15.49	4	2	80.14
GAS6	159.849	539	437.749	881.368	0	1114	0	380.899	127.592	3	65.679	69
NAB2	72.214	0	259	88	172.969	91	20	305.243	76.041	56.404	2	17
PAR12	20	11	0	31	25.503	0	1.281	3.823	1.463	186	11.145	320.555
TM199	50.673	0	45.431	9.964	38.615	55	122.061	5.347	219.44	13	29.562	229.489
NMNA1	10.05	6	24.909	21.198	65	52.603	70.107	172.128	30.435	18.087	72.972	0
CP100	11.494	0	1	0	13	20.418	0	1	0	0	6	1
RASL3	5.542	11.237	2.371	0	2	44.669	0	3.792	1.546	0	2.539	1.843
P2R3B	772.787	33.344	2	876.292	9	409.695	1726.278	6	567.086	1	44.082	1
SRXN1	0	872.231	619.305	56.824	1000.212	111.895	553	265.848	26.758	700.401	70.724	270.211
SPRY3	610.152	27.202	459.92	0	151.377	363.216	156	188.884	122.654	0	209.273	314
SCRB1	63.777	294	34.756	57.634	40	94.571	189	41.418	224.131	131.677	282.139	23.194
CNKR1	63.658	44.264	4.975	114.478	59.668	680.881	0	32.163	10.141	336.353	188.589	253.75
SCMH1	7.647	0	6.098	45.78	76.157	0	5	78.163	112.757	46.731	6.813	4.734
DGLB	175.527	267.751	181.307	0	126	0	3	4.886	129.394	10.131	269.944	67.361
TAF1C	7	13.188	7.427	0	5	3.862	4	29.758	129.718	8.793	6.486	2
DCNL3	378.166	0	4.529	5.004	31.717	50	4.602	63.224	75.9	7	18.355	15.498
CHERP	78.917	99.508	333.39	27.211	58.854	161.796	132	39.689	394.964	62.795	64	27.828
TLE2	1.963	7.794	41.419	14	1.195	5.048	2	5.534	26.356	114.423	4.386	0
FWCH2	15.917	5.372	7	8.893	34	13	36.669	158.655	11.327	31	35.383	232.362
BBS2	44	25.625	0	24.176	6	63	95	70.728	349.331	0	22.973	109
DHX34	1	0	10.028	2.056	0	4	0	7.661	16.387	0	10.668	5
K1C14	2332.877	2364.661	674.032	474.335	560.619	3461.004	0	5	4	74.314	14.115	664.317
TBC25	45.607	59	114	10	16	5.616	1	8.918	58.131	20	3.003	12
XPP3	16.15	0	28.004	40.232	6	13.215	25	0	6.734	6.001	7.918	5.003
CACB3	0	16	0	4	27.984	2	1.358	6.615	183.494	2	66.984	0
DNM1L	29.597	24.368	187.544	3.087	214.292	125.529	460.331	2.416	708.211	224	188.327	5.088
AP1G1	60.387	602.022	114.307	874.769	53	188.112	434.75	1251.478	6.367	619	212.838	9
ZN511	86	1.154	0	0	1	85	0	3.248	293.057	23	23.011	0
MTA1	151	54.642	395.442	57.427	26.701	69.239	81	53.574	11.432	151.961	284.96	10.172
NPNT	20	66.659	216.875	0	0	13	12.145	1.817	16.713	5	6.03	3
FNTB	3.673	65.09	42.645	67.286	30	25	0	573.243	229.202	11	1.261	169.641
MAF	989.594	163.597	160.595	44	313	482.77	477.754	41.856	0	52	138.325	40.468
TOP3A	0	13.979	13.336	226.814	240	60	0	3.549	10.559	165	78.865	149.842
F1142	155.532	526.941	1171.11	112.512	414.278	162	203.921	90.775	93.881	286	706	45.755
TRM44	77	1	1.209	0	2.387	5	7	8.265	8.078	8	16.22	12.693
S39A3	62.09	40	128	38	149.648	39	0	190	1.718	17.356	179	90
LIN1	8.928	24	6.504	85	1.195	2.107	0.962	2.419	1.167	1.637	6.999	3.909
AQP9	71.921	54.813	50.092	2	0	2	0	9.509	0	0	0	0
PP16A	7	16.425	0	5	17.515	5.331	37	77.626	83.777	34.326	69.721	53.394
VISL1	538.382	40.181	195.988	358.619	243.682	190.274	239	336.024	56.025	164	417	0
S23A1	6.191	2	4.429	0	24.219	1.792	0	0	6.434	13	5.076	25.51
I20RB	228	360.566	309.765	218	18.156	198	79	128.292	815.081	214	403	241.656
NKD2	38	0	50.462	9.295	92	35.697	0	4	1.349	21.643	12.873	9
SET1B	59	1	15.271	188.139	2.375	0	0	6.732	34.562	91	3.994	6.365
ANKS3	28	1.351	3.891	25	14	3	0	3	38.405	3	32	20.739
BIN2	0	1	3	2	0	0	0	4	0	0	6	2
GAMT	118	18.606	65.646	97.574	0	44.573	0	10.535	392	139.072	4.991	106
